org_text,clean_text,start_time,signer_id,signer,start,end,file,label,height,fps,end_time,url,text,box,width,review,url_id
match [light-a-MATCH],match,0.0,0,0,0,83,match light-a-MATCH,830,360,30.0,2.767,https://www.youtube.com/watch?v=C37R_Ix8-qs,match,"[0.057544618844985004, 0.21637457609176602, 1.0, 0.7300844192504881]",640,,0
FAIL,fail,0.0,0,-1,0,74,FAIL,542,360,25.0,2.96,https://www.youtube.com/watch?v=PIsUJl8BN_I,fail,"[0.06577941775321901, 0.167171776294708, 0.9392627477645871, 0.9187960028648371]",480,,1
BOOK,book,0.0,0,-1,0,66,BOOK(3),38,360,25.0,2.64,https://www.youtube.com/watch?v=J7tP98oDxqE,book,"[0.055698871612548, 0.25173279643058705, 0.9968159794807431, 0.900999665260314]",480,,3
sign-language,sign language,0.0,0,-1,0,75,SIGN-LANGUAGE-S-CLAW-F,848,360,29.97,2.5020000000000002,www.youtube.com/watch?v=N2mG9ZKjrGA,sign language,"[0.039043992757797005, 0.24198183417320202, 1.0, 0.858681082725524]",640,,4
easter,easter,0.0,2,58,0,116,Easter,794,360,29.595,3.92,https://www.youtube.com/watch?v=SVWABYmFdhs,easter,"[0.0, 0.12271708250045701, 1.0, 0.85962688922882]",640,,6
Boring ,boring,0.0,13,-1,0,71,ASL Boring ,46,360,25.0,2.84,https://www.youtube.com/watch?v=CYx7qm62Zwo,bored,"[0.05692723393440201, 0.26684892177581704, 0.9996088743209831, 0.6117504239082331]",640,,7
telephone,phone,0.0,2,81,0,56,Telephone,120,360,29.651,1.889,https://www.youtube.com/watch?v=HPz_C5XM4o4,phone,"[0.0, 0.133232593536376, 1.0, 0.8751190900802611]",640,1.0,9
telephone,phone,2.462,2,81,73,123,Telephone,120,360,29.651,4.148,https://www.youtube.com/watch?v=HPz_C5XM4o4,phone,"[0.0, 0.133232593536376, 1.0, 0.8751190900802611]",640,1.0,9
telephone,phone,4.991,2,81,148,196,Telephone,120,360,29.651,6.61,https://www.youtube.com/watch?v=HPz_C5XM4o4,phone,"[0.0, 0.133232593536376, 1.0, 0.8751190900802611]",640,1.0,9
LIBRARY,library,0.0,0,-1,0,73,LIBRARY(2),168,360,25.0,2.92,https://www.youtube.com/watch?v=S2cqitZ0qes,library,"[0.021932870149612, 0.178173333406448, 0.995293378829956, 0.894411087036132]",480,,10
COCHLEAR IMPLANT-[bent V version],cochlear implant,0.0,0,0,0,112,COCHLEAR IMPLANT-bent V version,916,720,29.97,3.737,https://www.youtube.com/watch?v=I_QDeKcyvns,cochlear implant,"[0.015846103429794003, 0.243858814239501, 1.0, 0.7607566118240351]",1280,,13
rainbow ,rainbow,1.804,144,-1,54,165,rainbow - ASL sign for rainbow,669,360,29.934,5.5120000000000005,https://www.youtube.com/watch?v=WeAFuzYTdtU,rainbow,"[0.004803866147994, 0.0, 1.0, 0.9657534956932061]",480,1.0,14
rainbow ,rainbow,5.813,144,-1,174,269,rainbow - ASL sign for rainbow,669,360,29.934,8.986,https://www.youtube.com/watch?v=WeAFuzYTdtU,rainbow,"[0.004803866147994, 0.0, 1.0, 0.9657534956932061]",480,1.0,14
rainbow ,rainbow,9.354,144,-1,280,435,rainbow - ASL sign for rainbow,669,360,29.934,14.532,https://www.youtube.com/watch?v=WeAFuzYTdtU,rainbow,"[0.004803866147994, 0.0, 1.0, 0.9657534956932061]",480,1.0,14
LETTER,letter,0.0,0,-1,0,73,LETTER(3),579,360,25.0,2.92,https://www.youtube.com/watch?v=sKbKzPIaFNA,letter,"[0.072407662868499, 0.15711635351181003, 0.948177218437194, 0.89693808555603]",480,,15
FROM,from,0.0,0,-1,0,68,FROM(1),298,240,30.0,2.267,https://www.youtube.com/watch?v=fQ58eciJmCY,from,"[0.034245312213897004, 0.177178680896759, 0.9956982731819151, 0.8752913475036621]",320,,16
its/his/her,his,0.0,62,-1,0,108,Sign ITSHISHER,771,360,30.0,3.6,https://www.youtube.com/watch?v=GYWm0gdybFA,his,"[0.0, 0.18186151981353701, 1.0, 0.87562870979309]",640,,17
HONG KONG-[fingerspelled-version],hong kong,0.0,0,0,0,72,HONG KONG-fingerspelled-version,906,360,29.97,2.402,https://www.youtube.com/watch?v=PIfDfi4Qx60,hong kong,"[0.064189255237579, 0.26669347286224304, 1.0, 0.7477506399154661]",640,,18
EVERY MORNING,every morning,0.0,0,-1,0,48,EVERY MORNING,606,360,25.0,1.92,https://www.youtube.com/watch?v=fv1nQoXRlsI,every morning,"[0.060804039239883007, 0.19459614157676602, 0.9983438253402711, 0.921932101249694]",480,,19
french,france,0.0,2,42,0,108,French,95,360,29.669,3.64,https://www.youtube.com/watch?v=iJuIO4n0-VU,france,"[0.0, 0.13540801405906602, 1.0, 0.829739093780517]",640,,20
